"ID" "Year" "LAI_Q90" "Municipality"
"Siauliai.2002" 1 2002 36.9195921640658 "Siauliai"
"Akmene.2002" 2 2002 34.0766687471535 "Akmene"
"Joniskis.2002" 3 2002 30.3509778514613 "Joniskis"
"Kelme.2002" 4 2002 38.4627272755759 "Kelme"
"Pakruojis.2002" 5 2002 29.2316658563506 "Pakruojis"
"Radviliskis.2002" 6 2002 32.7676101970711 "Radviliskis"
"Alytus.2002" 7 2002 29.3671902808906 "Alytus"
"Druskininkai.2002" 8 2002 31.0749999826605 "Druskininkai"
"Lazdijai.2002" 9 2002 31.5618246997467 "Lazdijai"
"Varena.2002" 10 2002 37.6006582309856 "Varena"
"Birstonas.2002" 11 2002 26.46875 "Birstonas"
"Jonava.2002" 12 2002 33.4204043686016 "Jonava"
"Kedainiai.2002" 13 2002 29.8909150285924 "Kedainiai"
"Kaisiadorys.2002" 14 2002 33.7875368785014 "Kaisiadorys"
"Kaunas.2002" 15 2002 31.5253513351972 "Kaunas"
"Prienai.2002" 16 2002 29.9377627689559 "Prienai"
"Raseinai.2002" 17 2002 31.2247765437185 "Raseinai"
"Silute.2002" 18 2002 38.2330156157309 "Silute"
"Klaipeda.2002" 19 2002 35.8727597858065 "Klaipeda"
"Kretinga.2002" 20 2002 39.023993835466 "Kretinga"
"Neringa.2002" 21 2002 30.5535714126769 "Neringa"
"Palanga.2002" 22 2002 40.7666666704705 "Palanga"
"Skuodas.2002" 23 2002 37.2190692401501 "Skuodas"
"Sakiai.2002" 24 2002 29.6623725087612 "Sakiai"
"Marijampole.2002" 25 2002 30.5964329106311 "Marijampole"
"Vilkaviskis.2002" 26 2002 23.7835808299186 "Vilkaviskis"
"Birzai.2002" 27 2002 36.2582785388836 "Birzai"
"Kupiskis.2002" 28 2002 36.5599879656171 "Kupiskis"
"Panevezys.2002" 29 2002 33.9048949618024 "Panevezys"
"Pasvalys.2002" 30 2002 29.4813024603148 "Pasvalys"
"Rokiskis.2002" 31 2002 38.6022022127569 "Rokiskis"
"Silale.2002" 32 2002 43.6229300230347 "Silale"
